timestamp,count,polarity
1-Nov,236,neg
1-Nov,8,pos 
1-Nov,556,neu
2-Nov,117,neg
2-Nov,9,pos 
2-Nov,674,neu
3-Nov,123,neg
3-Nov,7,pos 
3-Nov,670,neu
4-Nov,216,neg
4-Nov,0,pos 
4-Nov,584,neu
5-Nov,159,neg
5-Nov,0,pos 
5-Nov,641,neu
6-Nov,170,neg
6-Nov,0,pos 
6-Nov,630,neu
7-Nov,133,neg
7-Nov,0,pos 
7-Nov,667,neu
